date;heure;latitude;longitude;height;Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio;temps;distance;vitesse;tension;courant;frein;omega;couple;accel;theta
2024/06/13;13:55:00.197;48.664089548;6.15583014;304.2495;2;14;0.2717;0.6894;0.5416;-0.3032;0.2878;0.2439;0.2;0.0;3.200000020980835;0.0;0.0;368.6893051335315;-0.4;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:00.297;48.66408944;6.155830541;304.2349;2;14;0.2681;0.6807;0.5355;-0.2989;0.2853;0.2415;0.3;0.0;3.300000020980835;0.0;0.0;368.77679419739854;-0.4;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:00.397;48.664089356;6.155830901;304.2186;2;14;0.2647;0.6723;0.5297;-0.2947;0.2829;0.2391;0.4;0.0;3.400000020980835;0.0;0.0;368.86428326126554;-0.4;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:00.497;48.664089459;6.155830567;304.2168;2;13;0.2623;0.6674;0.5243;-0.2931;0.2784;0.2377;0.5;0.0;3.500000020980835;0.0;0.0;368.95177232513254;-0.4;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:00.597;48.664089526;6.155830131;304.2191;2;13;0.2599;0.6626;0.5192;-0.2914;0.274;0.2363;0.6;0.0;3.600000020980835;0.0;0.0;368.9994699420327;-0.40026502898364386;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:00.697;48.664089616;6.155829714;304.2258;2;13;0.2576;0.6578;0.5142;-0.2897;0.2697;0.2348;0.7;0.0;3.700000020980835;0.0;0.0;368.9982887745668;-0.4008556127166055;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:00.797;48.664089706;6.155829327;304.2301;2;13;0.2553;0.6531;0.5093;-0.2881;0.2656;0.2334;0.8;0.0;3.800000020980835;0.0;0.0;368.9971076071009;-0.4014461964495672;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:00.897;48.664089824;6.155828823;304.2398;2;13;0.2532;0.6486;0.5045;-0.2865;0.2617;0.2321;0.9;0.0;3.900000020980835;0.0;0.0;368.99592643963496;-0.40203678018252886;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:00.997;48.66408997;6.155828244;304.2553;2;13;0.2511;0.6441;0.4999;-0.2849;0.2578;0.2307;0.0;0.0;4.000000020980835;0.0;0.0;368.99474527216904;-0.4026273639154905;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.097;48.664092931;6.155808673;304.0871;2;13;0.2305;0.4821;0.4927;-0.2016;0.2071;0.2397;0.1;0.0;4.100000020980835;0.0;0.0;368.99356410470307;-0.40321794764845215;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.197;48.664094089;6.155801296;304.0354;2;13;0.221;0.403;0.4875;-0.1587;0.1836;0.2419;0.2;0.0;4.200000020980835;0.0;0.0;368.99238293723715;-0.4038085313814138;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.297;48.664094745;6.155797444;304.0307;2;14;0.2146;0.3535;0.4813;-0.1311;0.1683;0.2411;0.3;0.0;4.300000020980835;0.0;0.0;368.99120176977124;-0.4043991151143755;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.397;48.664095185;6.15579509;304.0346;2;14;0.2097;0.3189;0.4756;-0.1109;0.1577;0.2395;0.4;0.0;4.400000020980835;0.0;0.0;368.9900206023053;-0.40498969884733715;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.497;48.664095496;6.155793519;304.0436;2;14;0.2057;0.293;0.4702;-0.0951;0.1499;0.2377;0.5;0.0;4.500000020980835;0.0;0.0;368.9888394348394;-0.40558028258029877;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.597;48.664095721;6.1557924;304.0599;2;14;0.2022;0.2726;0.465;-0.082;0.1437;0.2356;0.6;0.0;4.6000000209808345;0.0;0.0;368.9876582673735;-0.40617086631326044;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.697;48.664095939;6.155791528;304.0783;2;14;0.1992;0.2561;0.46;-0.0708;0.1387;0.2335;0.7;0.0;4.700000020980835;0.0;0.0;368.9864770999076;-0.4067614500462221;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.797;48.664095999;6.155791568;304.0952;2;14;0.1973;0.2558;0.4552;-0.0725;0.1368;0.231;0.8;0.0;4.800000020980835;0.0;0.0;368.98529593244166;-0.4073520337791838;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.897;48.664096051;6.155791611;304.1171;2;14;0.1955;0.2556;0.4506;-0.0743;0.135;0.2286;0.9;0.0;4.900000020980835;0.0;0.0;368.9841147649757;-0.40794261751214544;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:01.997;48.664096216;6.15579104;304.1357;2;14;0.1927;0.2415;0.4461;-0.0642;0.131;0.2266;0.0;1.3;5.000000020980835;0.0;0.0;368.98293359750977;-0.4085332012451071;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:02.097;48.664096359;6.155790611;304.1564;2;14;0.1902;0.2299;0.4417;-0.0554;0.1275;0.2246;0.1;1.2;5.100000020980835;0.0;0.0;368.98175243004385;-0.4091237849780687;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:02.197;48.664096486;6.155790311;304.1831;2;14;0.1878;0.2198;0.4374;-0.0472;0.1245;0.2225;0.2;1.2;5.200000020980835;0.0;0.0;368.98057126257794;-0.4097143687110304;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:02.297;48.664096592;6.155790072;304.2018;2;14;0.1856;0.211;0.4332;-0.0394;0.1218;0.2205;0.3;1.2;5.300000020980835;0.0;0.0;368.979390095112;-0.41030495244399207;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:02.397;48.66409667;6.155789982;304.2215;2;14;0.1835;0.2032;0.4292;-0.0314;0.1194;0.2186;0.4;1.2;5.400000020980835;0.0;0.0;368.9782089276461;-0.41089553617695374;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:02.497;48.664096729;6.15579004;304.2419;2;14;0.1819;0.2032;0.4253;-0.0344;0.118;0.2165;0.5;1.1;5.500000020980835;0.0;0.0;368.9770277601802;-0.4114861199099154;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:02.597;48.66409676;6.155790101;304.2592;2;14;0.1804;0.2032;0.4215;-0.0372;0.1167;0.2145;0.6;1.1;5.6000000209808345;0.0;0.0;368.9758465927142;-0.412076703642877;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:02.697;48.664096799;6.155790076;304.2709;2;14;0.1789;0.2031;0.4178;-0.0394;0.1155;0.2126;0.7;1.1;5.700000020980835;0.0;0.0;368.9746654252483;-0.4126672873758387;1.0;0.0;0.0;0.0;-1.5707963267948966
2024/06/13;13:55:02.797;48.664096839;6.155790067;304.293;2;14;0.1775;0.2029;0.4142;-0.0413;0.1143;0.2107;0.8;1.1;5.800000020980835;0.0;0.0;368.9734842577824;-0.41325787110880036;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:02.897;48.66409687;6.155790087;304.3141;2;14;0.1761;0.2027;0.4106;-0.043;0.1131;0.2088;0.9;1.1;5.900000020980835;0.0;0.0;368.9723030903165;-0.413848454841762;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:02.997;48.664096925;6.155790022;304.3328;2;13;0.1749;0.2025;0.4081;-0.044;0.1124;0.2077;0.0;1.1;6.000000020980835;0.0;0.0;368.97112192285056;-0.4144390385747237;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:03.097;48.664096951;6.15579;304.3539;2;13;0.1739;0.2023;0.4056;-0.045;0.1118;0.2065;0.1;1.1;6.100000020980835;0.0;0.0;368.96994075538464;-0.41502962230768536;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:03.197;48.664096965;6.155790016;304.3746;2;13;0.1728;0.2021;0.4031;-0.046;0.1111;0.2054;0.2;1.1;6.200000020980835;0.0;0.0;368.9687595879187;-0.415620206040647;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:03.297;48.664096969;6.155790037;304.3907;2;13;0.1718;0.2019;0.4007;-0.0469;0.1105;0.2043;0.3;1.1;6.300000020980835;0.0;0.0;368.9675784204528;-0.41621078977360865;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:03.397;48.664096983;6.155790051;304.405;2;13;0.1707;0.2018;0.3983;-0.0478;0.1099;0.2032;0.4;1.1;6.400000020980835;0.0;0.0;368.96639725298684;-0.4168013735065703;1.0;0.0;0.0;0.0;1.5707963267948966
